video_id,title,channel_id,channel_name,view_count,observed_comments,in_observed_network
XVZM15KVXjM,Conoce sobre la actualización de la Norma para la Reducción de Desastres número 2 (NRD2).,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,267,0,False
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,1140,1,True
XktDG8dmcd0,Torrenciales lluvias dejan decenas de muertos y miles de evacuados,UCT4Jg8h03dD0iN3Pb5L0PMA,DW Español,5171,0,False
YJohmVLc9QA,How to Get Around Guatemala: Complete Transportation Guide (2026),UCCM52vmXEcGzRlYyjP47PPg,Chris & Grace,3897,0,False
YLFXK2c60Xc,Por estas razones el 65% de las denuncias por violación en Guatemala nunca llega a un tribunal,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,200,0,False
YSsECnqTVik,Suscriben convenios para transferencia de fondos a CAIMUS y entidades especializadas,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,15,0,False
ZHJoIah2Owo,Conoce como funciona el Sistema Conred  #laprevenciónestareadetodos,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,182,0,False
ZNwStkzWgso,Elección judicial en Guatemala: Astrid Lemus y Luis Bermejo electos para corte de constitucionalidad,UC_lEiu6917IJz03TnntWUaQ,CNN en Español,24636,0,False
ZPBiWdHXg20,Piloto de tráiler accidentado en ruta al Atlántico era un menor y murió en el lugar,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,233632,0,False
ZS74P3DnykA,"Policía Nacional Civil gradúa 3,978 nuevos agentes",UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,115270,0,False
Z_pWnOi7oRw,#EnVivoDCA | Conferencia de prensa del Gobierno de Guatemala,UCaivrAhro2BpsJdrPe-IyRg,Diario de Centro América,1329,0,False
ZhrDgVZkhg4,FORMACION BRIGADA DE PROVIAL,UCnbd_gs8-e1CQ6izIYtnSig,PROVIAL GUATEMALA,4419,0,False
_1VIxOLyaUQ,Sonido de trafico y ciudad 💤 ruido de calle para dormir bebés y relajarse,UCKZ0c9xQAIokTOf4iPJd5jw,Ambient Sound Explorer,330057,0,False
_3kK0or6QI0,PROVIAL guatemala,UCdd624oESXuVlcGtrzMWEBQ,heto009,2054,0,False
_Lcbi4NCHRA,Tercer Informe General de la República,UCh4GjKBcqxOsL_Bt8gCCSLg,Gobierno de Guatemala,305269,0,False
_NSq2q0mzCY,42K y 21K MuniGuate 🏃🏻🏃🏻‍♀️,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,47,0,False
_cUZT7LMKE0,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,2708,0,False
a2zgl-1KZwY,#CadenaNacional | Mensaje del Presidente Bernardo Arévalo a la nación,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,2334,0,False
a3QGSpNx9Mg,Guatemala ya no aguanta el tráfico… ¿Funcionará el Aerómetro?,UCHBzKtCUFwHuKFGD3bEHexQ,Entre Caminos,8098,0,False
a6QFfhpY53g,Provial Informa,UCuKuUrmHoNaJJHE27Aac9PQ,PROVIAL-CIV,49,0,False
aRKgOSxgsF0,@GobiernodeGuatemala,UCX2epzWFbtqhO1Tn2au9NXQ,luis arturo ceberg ulban,2,0,False
aSbvMYJhmCc,Policía Nacional Civil,UC8u2nvyHewt-mjdWSj0HJmQ,Ministerio de Gobernación,4346,0,False
a_kAe9IhBbo,Tráiler impacta pasarela en Aguilar Batres y provoca cierre parcial hacia la capital,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,255,0,False
ahicr7fQREY,Conred Podcast Episodio 9: Servidores Cívicos construyendo una cultura de prevención,UC6SA1dVHvAkc6yNS_t5cbGw,Conred,65,0,False
